Date,Volume,realized_volatility,implied_volatility
2017-02-02,-23537.995587038924,8.83790284053558,16.1939
2017-02-03,-54932.738896717085,9.46472089475578,15.133199999999999
2017-02-06,488004.00757100736,11.44048874454268,16.4328
2017-02-07,64470.445164640085,8.55238905185003,16.9147
2017-02-08,374958.1599796572,12.01538775150306,16.831
2017-02-09,347900.824585233,11.04912340136576,15.2973
2017-02-10,117599.64404429146,10.07636058531264,15.1125
2017-02-13,264101.4125846067,7.364426260377741,14.804300000000001
2017-02-14,-114973.18208928674,7.554019423854159,14.646899999999999
2017-02-15,90938.45834042632,7.82133341028254,14.682899999999998
2017-02-16,196425.4123495071,9.47904075911214,15.399899999999999
2017-02-17,307455.4398658739,9.67785823134536,14.8315
2017-02-20,-224212.98395846636,7.81037466484175,14.89059999999999
2017-02-21,53996.650256879744,8.42037305514023,14.5706
2017-02-22,133790.66974295024,10.09163592811904,14.8577
2017-02-23,103674.02908531053,7.20663014510228,15.457799999999999
2017-02-24,401219.5093653733,11.38056542810636,15.8552
2017-02-27,-7302.880131790764,8.73545235499991,16.0402
2017-02-28,5945.867063380312,6.28360108783153,16.2849
2017-03-01,360610.4953562332,11.45018772958957,15.3905
2017-03-02,-98541.75890324404,6.40535830431314,15.2754
2017-03-03,117769.52192587475,9.39735898937328,15.27079999999999
2017-03-06,-175599.26796319347,7.8102561081268504,15.768299999999998
2017-03-07,-424110.0224967762,6.7881362329274095,15.371799999999999
2017-03-08,67199.80386968213,10.81244665722104,14.9751
2017-03-09,-87825.16296929843,9.77699696414247,15.2123
2017-03-10,426723.7041284037,9.65269661001042,15.3441
2017-03-13,233248.37355596456,5.68619663900677,15.5803
2017-03-14,890098.4041609948,8.788873618667969,15.9737
2017-03-15,292928.2711698937,6.06101733917252,15.598300000000002
2017-03-16,494041.04963306896,11.46077329666992,11.5181
2017-03-17,-118204.38668806758,7.89829584426501,11.1647
2017-03-20,-54309.08250552975,6.667157304319191,13.079699999999999
2017-03-21,529611.6044093668,11.60944405283308,13.7745
2017-03-22,327261.4602267763,11.57788720032709,14.5148
2017-03-23,261124.19980281987,8.43110717741006,15.0982
2017-03-24,-7079.939771613921,6.8381780469707,15.1975
2017-03-27,186998.02999515636,10.31927046835766,16.3493
2017-03-28,111279.73799107644,6.913225895862,15.8635
2017-03-29,112719.11191810144,6.974672334089741,15.9304
2017-03-30,-116303.25983220608,5.56679758019303,16.1041
2017-03-31,332005.9697653566,6.66929500168222,16.52209999999999
2017-04-03,473953.80118739,6.34876873889133,17.9597
2017-04-04,-56879.17095316062,7.309740339377541,18.005
2017-04-05,229186.5372006985,9.214322369636442,18.52049999999999
2017-04-06,266927.1444498437,10.33289040832437,18.8703
2017-04-07,128963.87399527186,9.86183030875745,19.5373
2017-04-10,-29828.179740216816,5.84696096533796,22.0934
2017-04-11,504280.7601375835,12.661859572235832,22.9518
2017-04-12,54502.82517579757,8.85862368016537,22.7155
2017-04-13,187204.454711266,8.09903651030929,23.3883
2017-04-18,488711.7818876422,10.24240195532205,25.5942
2017-04-19,79521.83860154671,6.29343259724045,24.202099999999998
2017-04-20,397355.2293741997,9.53882919923786,24.8992
2017-04-21,579996.4499915837,10.489998800410449,25.092799999999997
2017-04-24,1488624.6051372057,20.94003219533436,16.246299999999998
2017-04-25,402649.10814207874,6.862229747254981,15.419599999999999
2017-04-26,219705.4922425133,6.41953430903924,15.584000000000001
2017-04-27,-19934.66327610309,7.13555449114931,16.107
2017-04-28,74879.1560664872,6.896649510684651,17.04949999999999
2017-05-02,-146600.53376142902,6.18886192518769,17.2673
2017-05-03,-243996.35087846487,5.12468257817153,17.3982
2017-05-04,271636.0467713595,7.1244163932793,16.484299999999998
2017-05-05,360266.4126535759,8.01544314087737,17.0143
2017-05-08,367022.26832082425,9.93437619577381,14.393
2017-05-09,16541.81510635151,5.48841560338683,14.0868
2017-05-10,-62033.36088292219,4.94159877384225,14.0655
2017-05-11,309647.4129183629,10.553865296663261,14.3491
2017-05-12,-147395.65843068413,5.854170471567341,13.8689
2017-05-15,-38000.780690844986,6.6465559267040994,14.2041
2017-05-16,-63957.26617284387,5.70657978870386,13.540099999999999
2017-05-17,702143.4834525784,13.45873604864165,16.1438
